"ANO","NIVEL","CODIGO","TVV","TCV","TMV","TVVF","TVVM","TVC_22_34","TVC_35_45","VMV","DPV","V_P25","V_P50","V_P75","TPIC","TAIC","TGIC"
2025,"UF",33,23,0,0,23,0,20,3,73678.2608695652,43727.5652246304,25650,89500,106400,0,0,0
2025,"MUNICIPIO",330010,2,0,0,2,0,2,0,55500,45254.833995939,39500,55500,71500,0,0,0
2025,"MUNICIPIO",330070,1,0,0,1,0,0,1,139900,NA,139900,139900,139900,0,0,0
2025,"MUNICIPIO",330100,3,0,0,3,0,3,0,78100,50739.7280244977,56200,89900,105900,0,0,0
2025,"MUNICIPIO",330170,1,0,0,1,0,0,1,26500,NA,26500,26500,26500,0,0,0
2025,"MUNICIPIO",330270,1,0,0,1,0,1,0,24800,NA,24800,24800,24800,0,0,0
2025,"MUNICIPIO",330330,2,0,0,2,0,2,0,116000,37476.659402887,102750,116000,129250,0,0,0
2025,"MUNICIPIO",330350,3,0,0,3,0,3,0,48266.6666666667,43632.1364745452,23150,26500,62500,0,0,0
2025,"MUNICIPIO",330390,1,0,0,1,0,1,0,92000,NA,92000,92000,92000,0,0,0
2025,"MUNICIPIO",330455,4,0,0,4,0,4,0,101075,22500.7222106314,86125,101200,116150,0,0,0
2025,"MUNICIPIO",330490,3,0,0,3,0,2,1,52566.6666666667,47184.0368486349,25400,28900,67900,0,0,0
2025,"MUNICIPIO",330620,2,0,0,2,0,2,0,63650,59750.5230102633,42525,63650,84775,0,0,0
