IDADE_PROPRIETARIO;SEXO_PROPRIETARIO;VALOR_P10;VALOR_P90
25;Feminino;88403;134387
25;Masculino;93177;138985
26;Feminino;88407;134411
26;Masculino;93241;138986
27;Feminino;88429;134436
27;Masculino;93249;139051
28;Feminino;88430;134466
28;Masculino;93256;139067
29;Feminino;88431;134468
29;Masculino;93274;139070
30;Feminino;88452;134473
30;Masculino;93289;139081
31;Feminino;88457;134477
31;Masculino;93351;139092
32;Feminino;88459;134483
32;Masculino;93355;139110
33;Feminino;88460;134485
33;Masculino;93360;139122
34;Feminino;88461;134493
34;Masculino;93362;139135
35;Feminino;88509;134511
35;Masculino;93363;139138
