MUNICIPIO;SEXO_PROPRIETARIO;IDADE_PROPRIETARIO;TIPO_VEICULO;VALOR_VEICULO
330455;feminino;30;1;89500
330455;masculino;30;1;112900
330455;feminino;41;2;18900
330455;masculino;43;1;97800
330455;feminino;;2;24500
330455;masculino;32;1;125900
330455;feminino;25;1;76000
330330;MASCULINO;45;2;21500
330330;feminino;22;1;109900
330330;feminino;44;2;
330330;masculino;34;1;142500
330330;feminino;31;1;89500
330350;feminino;37;2;21900
330350;Masculino;25;1;98500
330350;feminino;45;1;118900
330350;masculino;26;2;26500
330350;feminino;22;1;135000
330350;masculino;27;2;19800
330390;masculino;41;1;159900
330390;feminino;32;1;92000
330390;FEMININO;40;2;23900
330390;masculino;39;1;115000
330390;feminino;24;2;28500
330620;masculino;37;1;132900
330620;feminino;25;2;21400
330620;masculino;31;1;105900
330620;feminino;22;2;27800
330100;masculino;32;1;89900
330100;masculino;39;2;16900
330100;feminino;32;1;121900
330100;masculino;23;1;96500
330100;feminino;32;2;22500
330070;feminino;24;1;108900
330070;masculino;38;2;19900
330070;Feminino;35;1;139900
330010;masculino;31;2;23500
330010;feminino;30;1;87500
330010;masculino;45;2;29500
330270;feminino;45;1;116900
330270;masculino;27;2;24800
330270;feminino;45;1;102500
330170;masculino;36;1;91500
330170;feminino;22;2;17900
330170;masculino;39;1;127900
330170;feminino;35;2;26500
330490;feminino;40;1;98500
330490;masculino;29;2;21900
330490;feminino;37;1;134900
330490;masculino;35;1;106900
330490;feminino;34;2;28900
